ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2330.TW,20040102,23.76,24.51,23.76,24.51,23.76,0.75,3.16,75096573281,1840617011117.31
2330.TW,20040105,24.51,24.69,24.32,24.69,24.51,0.18,0.73,40274020409,994365563898.21
2330.TW,20040106,24.69,24.88,24.32,24.69,24.69,0.0,0.0,42246846871,1043074649244.99
2330.TW,20040107,24.69,24.88,24.32,24.51,24.69,-0.18,-0.73,57748718393,1415421087812.43
2330.TW,20040108,24.69,24.88,24.51,24.51,24.51,0.0,0.0,35635863203,873435007105.53
2330.TW,20040109,25.07,25.25,24.88,25.25,24.51,0.74,3.02,72428198964,1828812023841.0
2330.TW,20040112,25.25,25.44,24.88,25.25,25.25,0.0,0.0,32366304318,817249184029.5
2330.TW,20040113,25.44,25.44,25.07,25.25,25.25,0.0,0.0,31056560933,784178163558.25
2330.TW,20040114,25.07,25.44,24.88,25.07,25.25,-0.18,-0.71,39630308484,993531833693.88
2330.TW,20040115,25.25,25.25,24.69,25.07,25.07,0.0,0.0,43363600175,1087125456387.25
2330.TW,20040116,25.07,25.25,24.88,24.88,25.07,-0.19,-0.76,32418385738,806569437161.44
2330.TW,20040119,24.88,24.88,24.88,24.88,24.88,0.0,0.0,0,0.0
2330.TW,20040120,24.88,24.88,24.88,24.88,24.88,0.0,0.0,0,0.0
2330.TW,20040121,24.88,24.88,24.88,24.88,24.88,0.0,0.0,0,0.0
2330.TW,20040122,24.88,24.88,24.88,24.88,24.88,0.0,0.0,0,0.0
2330.TW,20040123,24.88,24.88,24.88,24.88,24.88,0.0,0.0,0,0.0
2330.TW,20040126,24.88,24.88,24.88,24.88,24.88,0.0,0.0,0,0.0
2330.TW,20040127,25.44,25.63,25.25,25.63,24.88,0.75,3.01,81458086671,2087770761377.73
2330.TW,20040128,25.25,25.44,25.07,25.25,25.63,-0.38,-1.48,41273422056,1042153906914.0
2330.TW,20040129,24.88,25.44,24.88,24.88,25.25,-0.37,-1.47,86873011292,2161400520944.96
2330.TW,20040130,24.88,25.07,24.51,24.69,24.88,-0.19,-0.76,52905669859,1306240988818.71
2330.TW,20040202,24.69,24.88,24.32,24.32,24.69,-0.37,-1.5,31620533751,769011380824.32
2330.TW,20040203,23.94,24.13,23.57,23.76,24.32,-0.56,-2.3,78128703415,1856337993140.4
2330.TW,20040204,23.76,23.76,23.38,23.38,23.76,-0.38,-1.6,44442032014,1039054708487.32
2330.TW,20040205,23.38,23.76,23.2,23.38,23.38,0.0,0.0,48073147328,1123950184528.64
2330.TW,20040206,23.57,23.94,23.57,23.57,23.38,0.19,0.81,34788161750,819956972447.5
2330.TW,20040209,23.94,24.51,23.94,24.32,23.57,0.75,3.18,46450068732,1129665671562.24
2330.TW,20040210,24.32,24.51,23.94,23.94,24.32,-0.38,-1.56,36529491296,874516021626.24
2330.TW,20040211,24.13,24.13,23.76,23.94,23.94,0.0,0.0,25306778155,605844269030.7
